id_consulta,tipo_tarefa,pergunta,resposta,arquitetura,tempo_resposta_seg,ferramenta_esperada,ferramenta_usada,erro,timestamp_inicio,timestamp_fim,referencia_tipo,referencia_url_esperada,referencia_codigo_linha,referencia_letreiro,referencia_sentido_descricao,referencia_erro,referencia_observacao,referencia_timestamp_inicio,referencia_timestamp_fim,referencia_linha_resolvida,referencia_horarios_esperados,referencia_rota_tempo_total_min,referencia_rota_distancia_total_km,referencia_rota_qtd_baldeacoes,referencia_rota_linhas_utilizadas,referencia_rota_pontos_embarque,referencia_rota_pontos_desembarque,referencia_faq_pergunta,referencia_faq_resposta,referencia_faq_texto,referencia_faq_categoria,referencia_faq_similaridade_pergunta,referencia_faq_score,pef,acuracia,completude,delta_temporal_status_seg,delta_temporal_horarios_seg,delta_temporal_rotas_seg,atualidade,qoi
R011,rota,Como ir de ônibus do Terminal Capelinha até o Hospital Campo Limpo?,"Para ir de ônibus do Terminal Capelinha até o Hospital Campo Limpo, siga este trajeto:

1. **Caminhe até o Terminal Capelinha** (0.3 km) - Duração: 2 minutos.
2. **Pegue o ônibus**:
   - **Linha**: 6451-10 - Terminal Capelinha / Terminal Bandeira via Marginal Pinheiros
   - **Duração**: 6 minutos.
   - **Horário de saída**: 8:52 AM.
   - **Horário de chegada**: 8:57 AM.
3. **Caminhe até o Hospital Campo Limpo** (0.1 km) - Duração: 2 minutos.

A distância total é de 2.3 km e a duração total do trajeto é de aproximadamente 10 minutos.",monoagente,4.6814,consultar_rota,consultar_rota,,2026-06-30T08:48:14.366644,2026-06-30T08:48:19.048310,rota,,,,,,,2026-06-30T08:48:13.488233,2026-06-30T08:48:14.366644,,,10,2.27,0,6451-10,Terminal Capelinha,Hospital Campo Limpo,,,,,,,1,1.0,1.0,,,4.6817,1.0,1.000000
R012,rota,Qual rota de ônibus faço do Terminal Grajaú até o Terminal Varginha?,"Para ir do Terminal Grajaú até o Terminal Varginha, siga esta rota:

1. **Caminhe até o Terminal Grajaú** (63 m) - Duração: 2 minutos.
2. **Pegue o ônibus**:
   - **Linha**: 6093-10 - Vargem Grande / Terminal Grajaú
   - **Sentido**: Vargem Grande
   - **Duração**: 18 minutos (5.0 km)
   - **Saída**: Terminal Grajaú
   - **Chegada**: Av. Sen. Teotônio Vilela, 7900.
3. **Caminhe até o Terminal Varginha** (0.2 km) - Duração: 3 minutos.

**Duração total**: aproximadamente 23 minutos.",monoagente,3.8174,consultar_rota,consultar_rota,,2026-06-30T08:48:19.917422,2026-06-30T08:48:23.734855,rota,,,,,,,2026-06-30T08:48:19.050078,2026-06-30T08:48:19.901248,,,19,5.33,0,6099-10,Terminal Grajau,"Av. Sen. Teotônio Vilela, 7900",,,,,,,1,0.93,1.0,,,3.8336,1.0,0.976667
R013,rota,Como chegar de ônibus do Terminal Parelheiros até o Terminal Santo Amaro?,"Para chegar de ônibus do Terminal Parelheiros até o Terminal Santo Amaro, você pode seguir a seguinte rota:

1. **Ônibus**: Pegue a linha **6000-10 - Terminal Parelheiros / Terminal Santo Amaro**.
   - **Duração**: Aproximadamente 1 hora e 19 minutos.
   - **Horário de saída**: 8:53 AM.
   - **Horário de chegada**: 10:11 AM.

2. **Caminhada**: Após descer do ônibus, caminhe até o Terminal Santo Amaro, que está a 0.2 km de distância.
   - **Duração da caminhada**: Cerca de 4 minutos.

A duração total da viagem é de aproximadamente 1 hora e 22 minutos.",monoagente,4.4155,consultar_rota,consultar_rota,,2026-06-30T08:48:24.440240,2026-06-30T08:48:28.847453,rota,,,,,,,2026-06-30T08:48:23.734855,2026-06-30T08:48:24.440240,,,81,23.57,0,6091-10,"Rua José Pedro de Borba, 945 - Parada Nacip Haydan",Terminal Santo Amaro,,,,,,,1,0.93,1.0,,,4.4072,1.0,0.976667
R014,rota,"Quero sair do Terminal João Dias e ir de ônibus até o MASP, na Avenida Paulista.","Para ir do Terminal João Dias até o MASP na Avenida Paulista, você pode seguir este trajeto:

1. **Caminhada**: Ande até o Terminal João Dias (0.1 km) - Duração: 2 minutos.
2. **Ônibus**: Pegue o ônibus da linha **6451-10 - Terminal Capelinha / Terminal Bandeira via Marginal Pinheiros**. 
   - **Saída**: 8:55 AM
   - **Chegada**: 9:36 AM
   - **Distância**: 14.2 km
3. **Caminhada**: Ande até a Avenida Paulista, 1578 - Bela Vista (0.5 km) - Duração: 9 minutos.

**Duração total**: aproximadamente 52 minutos.",monoagente,4.2462,consultar_rota,consultar_rota,,2026-06-30T08:48:29.759728,2026-06-30T08:48:33.995563,rota,,,,,,,2026-06-30T08:48:28.860634,2026-06-30T08:48:29.759728,,,52,14.73,0,6451-10,Terminal João Dias,Getúlio Vargas B/C,,,,,,,1,0.72,1.0,,,4.2358,1.0,0.906667
R015,rota,Como ir de ônibus do Terminal João Dias até o Shopping Jardim Sul?,"Para ir de ônibus do Terminal João Dias até o Shopping Jardim Sul, siga este trajeto:

1. **Caminhe até Av. Alberto Augusto Alves, 50** (0.3 km) - Duração: 4 minutos.
2. **Pegue o ônibus**:
   - **Linha**: 5119-10 - Terminal Capelinha / Largo São Francisco via Morumbi
   - **Sentido**: Largo São Francisco
   - **Horário de saída**: 8:53 AM
   - **Horário de chegada**: 8:57 AM
   - **Parada**: Av. Alberto Augusto Alves, 50 até Av. Giovanni Gronchi, 5819 (1.4 km) - Duração: 5 minutos.
3. **Caminhe até o Shopping Jardim Sul** (R. Itacaiúna, 61 - Piso 1 - Vila Andrade) (34 m) - Duração: 1 minuto.

A duração total do trajeto é de aproximadamente 9 minutos.",monoagente,4.8858,consultar_rota,consultar_rota,,2026-06-30T08:48:34.900741,2026-06-30T08:48:39.795878,rota,,,,,,,2026-06-30T08:48:33.995563,2026-06-30T08:48:34.900741,,,9,1.75,0,5119-10,"Av. Alberto Augusto Alves, 50","Av. Giovanni Gronchi, 5819",,,,,,,1,1.0,1.0,,,4.8951,1.0,1.000000
R016,rota,"Qual caminho de ônibus faço do Terminal Campo Limpo até o Largo da Batata, em Pinheiros?","Para ir do Terminal Campo Limpo até o Largo da Batata em Pinheiros, siga este trajeto:

1. **Caminhe até o Terminal Campo Limpo** (63 m) - Duração: 2 minutos.
2. **Pegue o ônibus**:
   - **Linha**: 8700-10 - Terminal Campo Limpo / Praça Ramos de Azevedo
   - **Sentido**: Praça Ramos de Azevedo
   - **Duração**: 41 minutos
   - **Saída**: 8:52 AM
   - **Chegada**: 9:33 AM
   - **Parada**: Faria Lima B/C
3. **Caminhe até o Largo da Batata** (0.6 km) - Duração: 9 minutos.

A duração total do trajeto é de aproximadamente 52 minutos.",monoagente,5.4648,consultar_rota,consultar_rota,,2026-06-30T08:48:40.712308,2026-06-30T08:48:46.188839,rota,,,,,,,2026-06-30T08:48:39.795878,2026-06-30T08:48:40.712308,,,52,12.45,0,8700-10,Terminal Campo Limpo,Faria Lima B/C,,,,,,,1,1.0,1.0,,,5.4765,1.0,1.000000
R017,rota,Como chegar de ônibus do Terminal Campo Limpo até o Shopping Eldorado?,"Para chegar de ônibus do Terminal Campo Limpo até o Shopping Eldorado, siga este trajeto:

1. **Caminhe até o Terminal Campo Limpo** (63 m) - Duração: 2 minutos.
2. **Pegue o ônibus**:
   - **Linha**: 8700-10 - Terminal Campo Limpo / Praça Ramos de Azevedo
   - **Sentido**: Eldorado B/C
   - **Duração**: 40 minutos.
   - **Horário de saída**: 8:52 AM.
   - **Horário de chegada**: 9:31 AM.
3. **Caminhe até o Shopping Eldorado** (0.2 km) - Duração: 3 minutos.

A duração total da viagem é de aproximadamente 44 minutos.",monoagente,4.369,consultar_rota,consultar_rota,,2026-06-30T08:48:47.079469,2026-06-30T08:48:51.446618,rota,,,,,,,2026-06-30T08:48:46.188839,2026-06-30T08:48:47.079469,,,44,11.46,0,8700-10,Terminal Campo Limpo,Eldorado B/C,,,,,,,1,1.0,1.0,,,4.3671,1.0,1.000000
R018,rota,"Quero ir de ônibus do Terminal Capão Redondo até a Avenida Brigadeiro Faria Lima, 3477.","Para ir do Terminal Capão Redondo até a Avenida Brigadeiro Faria Lima, 3477, você pode seguir o seguinte trajeto:

1. **Caminhe** até Av. Carlos Caldeira Filho, 4301 (0.2 km) - Duração: 3 minutos.
2. **Pegue o ônibus** da linha **6816-31 - Jardim Mitsutani / Terminal Capelinha via Av. Sabin** em direção ao Terminal Capelinha.
   - **Horário de saída:** 8:52 AM
   - **Horário de chegada:** 8:58 AM
3. **Caminhe** até o Terminal Capelinha (19 m) - Duração: 1 minuto.
4. **Pegue o ônibus** da linha **6451-10 - Terminal Capelinha / Terminal Bandeira via Marginal Pinheiros** em direção ao Terminal Bandeira.
   - **Horário de saída:** 9:05 AM
   - **Horário de chegada:** 9:43 AM
5. **Caminhe** até a Avenida Brigadeiro Faria Lima, 3477 (0.8 km) - Duração: 11 minutos.

**Duração total estimada:** 1 hora e 5 minutos.",monoagente,5.1506,consultar_rota,consultar_rota,,2026-06-30T08:48:52.346802,2026-06-30T08:48:57.499853,rota,,,,,,,2026-06-30T08:48:51.446618,2026-06-30T08:48:52.346802,,,63,15.54,1,6039-10|648P-10,"Estr. de Itapecerica, 4157|Hospital Campo Limpo","Estr. de Itapecerica, 1539|Av. Brg. Faria Lima, 3477 - Parada Juscelino Kubitschek",,,,,,,1,0.9,1.0,,,5.1531,1.0,0.966667
R019,rota,Como ir de ônibus do Terminal Jardim Ângela até o Terminal Santo Amaro?,"Para ir de ônibus do Terminal Jardim Ângela até o Terminal Santo Amaro, siga este trajeto:

1. **Caminhe até a parada**: Estr. do M’boi Mirim, 5119 - Parada 1 (0.1 km) - Duração: 2 minutos.
2. **Pegue o ônibus**: Linha 637R-10 - Jardim Aracati / Terminal Santo Amaro.
   - **Duração do trajeto**: 41 minutos.
   - **Horário de saída**: 8:51 AM.
   - **Horário de chegada**: 9:26 AM.
3. **Caminhe até o Terminal Santo Amaro**: (0.2 km) - Duração: 5 minutos.

A duração total da viagem é de aproximadamente 41 minutos, considerando o tempo de caminhada.",monoagente,5.1134,consultar_rota,consultar_rota,,2026-06-30T08:48:58.232976,2026-06-30T08:49:03.352369,rota,,,,,,,2026-06-30T08:48:57.499853,2026-06-30T08:48:58.232976,,,37,9.96,1,677A-10|6200-10,"Terminal Jardim Angela|Av. Dr. Mário Vilas Boas Rodrigues, 175","Av. Dr. Mário Vilas Boas Rodrigues, 175|Terminal Santo Amaro",,,,,,,1,0.905,1.0,,,5.1194,1.0,0.968333
R020,rota,Me diga uma rota de ônibus do Terminal Jardim Ângela até o Hospital Campo Limpo.,"A rota de ônibus do Terminal Jardim Ângela até o Hospital Campo Limpo é a seguinte:

1. **Caminhada**: Vá até Estr. do M’boi Mirim, 5119 - Parada 1 (0.1 km)  
   - **Duração**: 2 minutos

2. **Ônibus**: Pegue o ônibus da linha **558 - Embu-Guaçu (Chácara Flórida) / São Paulo (Metrô Capão Redondo)** em direção ao Metrô Capão Redondo.  
   - **Duração**: 12 minutos  
   - **Saída**: 8:51 AM  
   - **Chegada**: 9:06 AM  
   - **Parada de saída**: Estr. do M’boi Mirim, 5119 - Parada 1  
   - **Parada de chegada**: Av. Ellis Maas, 65

3. **Caminhada**: Vá até Estr. de Itapecerica, 4157 (0.1 km)  
   - **Duração**: 2 minutos

4. **Ônibus**: Pegue o ônibus da linha **6044-10 - Jardim Dom José / Terminal Santo Amaro** em direção ao Terminal Santo Amaro.  
   - **Duração**: 11 minutos  
   - **Saída**: 9:11 AM  
   - **Chegada**: 9:22 AM  
   - **Parada de saída**: Estr. de Itapecerica, 4157  
   - **Parada de chegada**: Estr. de Itapecerica, 1539

5. **Caminhada**: Vá até Estr. de Itapecerica, 1661 - Vila Maracana, São Paulo - SP (48 m)  
   - **Duração**: 1 minuto

**Duração total da viagem**: aproximadamente 34 minutos  
**Distância total**: 6.8 km",monoagente,8.3394,consultar_rota,consultar_rota,,2026-06-30T08:49:03.986755,2026-06-30T08:49:12.324084,rota,,,,,,,2026-06-30T08:49:03.353369,2026-06-30T08:49:03.976511,,,31,6.72,1,563|6045-10,"Estr. do M’boi Mirim, 5119 - Parada 1|Av. Ellis Maas, 679","Av. Ellis Maas, 679|Estr. de Itapecerica, 1539",,,,,,,1,0.93,1.0,,,8.3476,1.0,0.976667
R021,rota,Como chegar de ônibus do Terminal Cidade Tiradentes até o Hospital Santa Marcelina Itaquera?,"Para chegar do Terminal Cidade Tiradentes até o Hospital Santa Marcelina Itaquera, você pode seguir este trajeto:

1. **Ônibus**: Pegue a linha **3539-10 - Cidade Tiradentes** em direção a **Bresser**.
   - **Saída**: Terminal Cidade Tiradentes
   - **Chegada**: Rua Harry Dannenberg, 491
   - **Duração**: aproximadamente 37 minutos.

2. **Caminhada**: Após descer do ônibus, caminhe até o Hospital Santa Marcelina, que fica a 0,5 km de distância.
   - **Duração da caminhada**: cerca de 8 minutos.

**Duração total do trajeto**: aproximadamente 45 minutos.",monoagente,3.9771,consultar_rota,consultar_rota,,2026-06-30T08:49:13.216858,2026-06-30T08:49:17.187827,rota,,,,,,,2026-06-30T08:49:12.324084,2026-06-30T08:49:13.216858,,,45,13.35,0,3539-10,Terminal Cidade Tiradentes,"Rua Harry Dannenberg, 491",,,,,,,1,0.975,1.0,,,3.971,1.0,0.991667
